,project,GitHub,R1,R5,R10,number-of-commits,number-of-entities,number-of-entities-changed,number-of-authors,max-age-months,avg-age-months,avg2-degree-coupling,avg2-strength-communication,avg2-author-revs-effort,avg2-total-revs-effort,avg2-ownership-added,avg2-ownership-deleted,avg-author-churn-added,avg-author-churn-deleted,avg-author-churn-commits,avg-entity-churn-added,avg-entity-churn-deleted,avg-entity-churn-commits,avg-fragmentation-fractal-value,avg-fragmentation-total-revs,avg-main-dev-ownership,avg-refactoring-main-dev-ownership,avg-revisions,avg-soc
30,jmeter,https://github.com/apache/jmeter.git ,0.69,0.1564,0.0245,17748.0,11368.0,63435.0,122.0,317.0,102.08040112596763,52.566782645194984,8.194357925604255,1.8979535554399207,5.580137227304715,64.02516387487425,44.52371823882226,13118.360655737704,9030.065573770491,145.47540983606558,140.78465869106265,96.90957072484166,5.580137227304715,0.215588494018295,5.580137227304715,0.6054389514426437,0.4877040816326525,5.580137227304715,1479.6869107043815
31,picasso,https://github.com/square/picasso.git,0.9766,0.8884,0.7893,1073.0,714.0,4088.0,135.0,144.0,82.49439775910363,55.59548078434218,20.540001701772635,1.8160814490738564,5.7254901960784315,25.407479826913523,16.75868821505892,424.837037037037,296.3851851851852,7.948148148148148,80.32633053221288,56.03921568627451,5.7254901960784315,0.2258025210084031,5.7254901960784315,0.6665826330532213,0.6055322128851541,5.7254901960784315,81.22620904836194
32,airflow,https://github.com/apache/airflow.git,0.4017,0.0105,0.0001,27102.0,38565.0,189875.0,3444.0,124.0,18.733151821599897,55.099439286272535,17.958070338323502,1.3698418231134128,4.923505769480099,28.028024462481284,15.044133725312442,1061.575493612079,597.7389663182346,7.869337979094077,94.80269674575392,53.38034487229353,4.923505769480099,0.19382089977959266,4.923505769480099,0.5690979904058064,0.4926242707117806,4.923505769480099,1470.6944444444443
33,dagger,https://github.com/google/dagger.git ,0.86,0.4704,0.2213,3884.0,6353.0,29896.0,177.0,151.0,59.88997324098851,50.722017003622696,6.812716223566668,1.7527561543084542,4.705808279552967,41.04250831238475,19.854729623402132,3561.1581920903955,2097.1525423728813,21.943502824858758,99.21690539902409,58.42845899575004,4.705808279552967,0.2517520856288394,4.705808279552967,0.8199228710845224,0.640958602235165,4.705808279552967,314.64413160910135
34,pmd,https://github.com/pmd/pmd.git ,0.6782,0.1435,0.0206,24084.0,29659.0,135298.0,425.0,271.0,117.43386493138676,54.14166439343383,11.356948642317404,2.2711092228661856,4.561785629994268,51.22873496622635,37.14948290910451,6267.884705882353,4793.174117647059,56.66823529411765,89.81594119828719,68.68400822684514,4.561785629994268,0.13456630365150593,4.561785629994268,0.6419478067365603,0.5644182204389854,4.561785629994268,401.98343752245455
35,angel,https://github.com/Tencent/angel.git ,0.8219,0.3752,0.1407,2041.0,6596.0,22568.0,82.0,93.0,68.25848999393573,66.32912087912088,4.497956033697614,1.6879731089441528,3.4214675560946026,303.97659195379777,123.37417633744197,34020.560975609755,18722.963414634145,24.890243902439025,422.936021831413,232.75970285021225,3.4214675560946026,0.27812007277138506,3.4214675560946026,0.7993844754396605,0.6473044269254101,3.4214675560946026,1259.297072468405
36,derby,https://github.com/apache/derby.git,0.6281,0.0977,0.0095,8237.0,10811.0,59995.0,36.0,245.0,126.14688742946998,57.27297800434119,8.003722559159037,1.5262870111414546,5.549440384793266,86.3507435910412,45.1009050242943,113059.05555555556,64256.77777777778,228.80555555555554,376.4800665988345,213.9713255018037,5.549440384793266,0.31617176949404285,5.549440384793266,0.4475432429932416,0.45519470909258886,5.549440384793266,2685.2836343008416
37,hadoop,https://github.com/apache/hadoop.git ,0.3053,0.0027,0.0,27115.0,50579.0,198670.0,812.0,189.0,108.23219122560747,51.222513202268345,3.4730812190401914,1.2481532694469408,3.92791474722711,96.49267226250142,25.33940097254147,11003.050492610837,3952.9556650246304,33.392857142857146,176.64400245161036,63.46112022776251,3.92791474722711,0.2081335139089478,3.92791474722711,0.5715709879594354,0.4105112991557693,3.92791474722711,1341.595713124746
38,junit4,https://github.com/junit-team/junit4.git,0.9644,0.834,0.6956,2113.0,2275.0,8333.0,200.0,290.0,179.8487912087912,49.02357478202549,15.896488615601273,1.5673674090945946,3.662857142857143,30.08591656350232,17.913694906679993,836.54,546.135,10.565,73.54197802197803,48.011868131868134,3.662857142857143,0.22243516483516435,3.662857142857143,0.6540747252747268,0.5648307692307696,3.662857142857143,221.2856463878327
39,visualvm,https://github.com/oracle/visualvm.git ,0.6696,0.1346,0.0181,6802.0,15076.0,46591.0,64.0,208.0,105.30512072167684,59.66363552572053,8.321280953053872,1.9522126608300518,3.0904085964446804,41.72720809770766,17.909410131617093,16919.0,7602.265625,106.28125,71.82382594852746,32.2728177235341,3.0904085964446804,0.12956931546829725,3.0904085964446804,0.5607289732024379,0.47702440965773174,3.0904085964446804,1519.9348545196788
